AgeGroup,GENDER,DOMAIN,PhD,YearsExpGroup,UNIVERSITY,UOC_POSITION,USERWIKI,PU1,PU2,PU3,PEU1,PEU2,PEU3,ENJ1,ENJ2,Qu1,Qu2,Qu3,Qu4,Qu5,Vis1,Vis2,Vis3,Im1,Im2,Im3,SA1,SA2,SA3,Use1,Use2,Use3,Use4,Use5,Pf1,Pf2,Pf3,JR1,JR2,BI1,BI2,Inc1,Inc2,Inc3,Inc4,Exp1,Exp2,Exp3,Exp4,Exp5
40s,Male,Sciences,Yes,10 to 20 yrs,UOC,Associate,No,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Strongly Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Strongly Disagree,Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,Disagree
40s,Male,Law & Politics,Yes,10 to 20 yrs,UOC,Associate,No,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Disagree,Disagree,Agree,Agree,Neutral,Agree,Disagree,Disagree,Agree,Disagree,Agree
30s,Male,Engineering & Architecture,Yes,10 to 20 yrs,UOC,Assistant,No,Disagree,Disagree,Disagree,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Strongly Agree,Neutral,Disagree,Neutral,Disagree,Disagree,Agree,Neutral,Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Disagree,Neutral
40s,Male,Engineering & Architecture,No,10 to 20 yrs,UOC,Assistant,No,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Disagree,Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree
50s,Male,Unknown,No,<10 yrs,UOC,Assistant,Yes,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree
40s,Male,Engineering & Architecture,No,10 to 20 yrs,UOC,Assistant,No,Disagree,Disagree,Neutral,Strongly Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Neutral,Disagree,Agree,Agree,Neutral,Disagree,Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Neutral,Disagree,Agree,Agree,Neutral,Agree,Strongly Disagree,Agree
40s,Male,Engineering & Architecture,No,10 to 20 yrs,UOC,Assistant,No,Agree,Agree,Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Neutral,Strongly Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree
50s,Male,Unknown,No,10 to 20 yrs,UOC,Assistant,No,Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Strongly Disagree,Agree
50s,Male,Arts & Humanities,Yes,10 to 20 yrs,UOC,Associate,No,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Neutral,Neutral,Disagree,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree
50s,Male,Engineering & Architecture,Yes,20 to 30 yrs,UOC,Associate,No,Agree,Agree,Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Neutral,,Neutral,Neutral,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree
40s,Male,Engineering & Architecture,Yes,10 to 20 yrs,UOC,Associate,Yes,Neutral,Neutral,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Neutral,Neutral,Disagree,Neutral,Agree,Disagree,Disagree,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Disagree,Neutral,Agree,Neutral,Agree,Strongly Disagree,Disagree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,Agree,Agree,Agree,Agree,Strongly Disagree,Disagree
40s,Male,Unknown,No,20 to 30 yrs,UOC,Assistant,No,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Disagree,Neutral,Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Neutral,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree
